,Product,Price,Image,Link,Reviews,Stars,Discount,Tikinow,Badge under price,Installment,gift
0,Máy chiếu mini VANKYO Cinemango 100 White - Hàng Chính Hãng,3.290.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/8e/e8/96/579a0845c9eb9a475889a9504b9c40e5.jpg,https://tka.tiki.vn/pixel?data=djAwMd3lnvtZZXcRSkKTqsxpGKicsZefCLp-8MUigmNOrh2YFbAZQld-v5ZKsV7kYYRUeVGwW0CnSfFx8PorHhyZ4mpMpRdH4iEyVkqip5j0XQquiPoXb655jp2N45hyW7VfOIOu__ghhfY2q9jMMbHlK3Tw913blA5pJyYZU3t4MnnOPaapJBl8XHnhQA-ipZGYpk2RlQ5xEfHEXGic3RgqucrkpVoAKyc5PwsSsuC4twesu1GpX0bScrh83HZIPS6vTrNtuBdmc3S1rjgtKjqOnwYBPuzOeyNPa2Ttw9d1nWLgBJhutWq_ZBUe0XlnDyHO3T55PimENDQyp5Q11bFQIsl7jWTmNC66oH6XdalsU4Cf4tipTzDQWsTqjYDgbLShXLmlku2UT2gkRxxenGlB6TlziIMABuor16ep6Ffz2bGUpwoL7bknHnZPpOe2fqdkbKTP94iBCABpM58EbAXD41ZthWEZ8YYs0-aI27Sfn4ivg9aNw2yqxnv6uDQTIf_xHrMTIO3VNO33E9u9_2Dp0r9rb2Ea9S6ODd7a9sQNFdLrDuDIvPBcgjb5yYDi4n36ymxnK2fEYhKWeKY_SEP3yeI2mYarst9D_XYMm6zZLUDuaV1xesW7ovuV3MalFMKX7DxZYy_Gm-Yoc3BMXhx9o5Wh1OyTW2MOCCyTOKHhU3hVlMD_jvNviKXVGHFyHp8GIqYZ6qthgiox-3vidhTSgSMeTaD7BdsYRQ8DTlQxojMMeUTk8irKU_PSe44wXWcv80fV6ylprWlBwIoLimXQt3oHgCNZESmWx4NtF7ai8yziJsBUHX8-bEBT5QqMRdv0LFRYe5wRdiCycNkuPhv20eVaTeOyWIaO6Yx8H8Wiv-Oc5lUu4OKHdlkPTU2RSceFAX_u6LPAqnncv36VW-LAwvudTOT-p9sjfCNBdy_hgJO290Yh00g60JimWJgk0sfsTHTPXRZrpCE3yOwVT3-VICw0WJ3OqI47n5G4ms9BLaV0boaRY90KW3s6TRkWupuPqBg0dAm3KUwkyt0h-VBjiYAwVAJmtNGiNPw_0h39rb9neLDPOpS_RuwojNl2HidVFvAJhJB1eEJOAydQffGBKwpwjBQP9aCWA_B_ITxgordZJLq6F86Pz1HCrbpn7zLuVMwFwzCX4lL9quejfakRQ_Sg-YZaLCvQgq6NsjHODmSRzuAJSLreJuHekt_zsGyfFprWriqs0yu1jUKRdHP4F9gUSkHpWmW8SXodn3025G5A2q_Rgg&CLICK&reqid=OszOXv73fm&pos=1&redirect=https%3A%2F%2Ftiki.vn%2Fmay-chieu-mini-vankyo-cinemango-100-white-hang-chinh-hang-p72604135.html%3Fspid%3D72604136%26src%3Dss-ads,4,4.0,-40%,No,No,No,No
1,Apple Macbook Pro 2020 M1 - 13 Inchs (Apple M1/ 8GB/ 256GB) - Hàng Chính Hãng,31.499.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/a7/e8/d6/33d72e8efc6ef58d5fbe0cb1770c797e.jpg,https://tiki.vn/apple-macbook-pro-2020-m1-13-inchs-apple-m1-8gb-256gb-hang-chinh-hang-p73795655.html?src=ss-organic,123,5.0,-10%,Yes,Yes,Yes,No
2,Bộ Kích Sóng Wifi Repeater 300Mbps Totolink EX200 - Hàng Chính Hãng,198.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/9d/fa/1e/30d0c22525743d5a2e850e76dd52fe72.jpg,https://tiki.vn/bo-kich-song-wifi-repeater-300mbps-totolink-ex200-hang-chinh-hang-p547563.html?src=ss-organic,1462,4.3,-27%,Yes,No,No,No
3,Apple Macbook Air 2020 M1 - 13 Inchs (Apple M1/ 8GB/ 256GB) - Hàng Chính Hãng-,25.499.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/92/98/f9/32568923c4c42a13346ca55c8bd473fb.jpg,https://tiki.vn/apple-macbook-air-2020-m1-13-inchs-apple-m1-8gb-256gb-hang-chinh-hang-p73795621.html?src=ss-organic,70,5.0,-15%,Yes,No,Yes,No
4,Bộ phát wifi TP-Link băng tần kép AC750 Archer C24 Modem wifi hàng chính hãng TP Link - Cục phát wifi TPLink router wifi TP link,379.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/f6/24/22/1ee8304b6eb7c211f4e0cf094d35d77e.jpg,https://tka.tiki.vn/pixel?data=djAwMSBHdHN4JNv483VWaFZoZ9NHujcVVulyL06MMk-yTWg-qbzxZs-yNW-xITUkrDsmnkFi3sN5GiA3JI1zku8iAYYRVSXj2rZpVezI013PiqAjprnR-vk9_7Rdq5OgeSddAT-mRrzj7pcBsoMreWSbOEh8ABV_7YXd9Bkq8ykPhzDte5rfd8GYPBlmaMo_fmfjH20hMJ-tPTcvpSX2iiUsdXzfe1NL0F_EFwfjTcFgk5P78eZwQschK3oBLRi7u_YHTuHziGPtu7qSW7o1CFWhTUYKjQmR3Irmy7Ne3GspPlRGNjM-dnlpcZuBW9ul5nOo8gQ-UwU0pO2bq62HU-C3JUH5P8AekB5FPED5UGgKMumNCkTRVYfgojv9ebWOmx3KCrX9pHwPgLuB5i5a98k06U6DCkRJ7qRNacrXxAlvsYBEYF_1K3P_L1k1KTIqgv1q4f5bg-DLv4ZOD9b8xLmlw_sIU1LRtYGbXE4DcuVHS2piHmgLar0YS6UUB3j_PQJJk2hGS4axwvaZBXD2solkWyUy99mxPaKOtnoJgKHVbN5j9TDYl0D29CBpNl0zp5bZ_dd2H_PqhtvWmWUBnTKecwxgoA29THadYWOS3P8cndJiokD_3X3O3aqEgT8t0VhwyUljOQA0e3CO2_0s_15Agc0Hswu1kcmcyXwog4Q-AUuct6VwHc6kIjEFzJf7TJg3FT93ef6Hmgc7Xoy86XCLVfgUY8szzjoeojbUo_MMOX453XE1-yCIFfuIgMgxuhR0EE7Kl6jYfQtKa1p1eR2H4C0IbFiA6mGWA_MIH8bo1XXso6ffqfnQvdDtwsg-S2V3ghDkHN9gaoHy_2Jgx4KvAQQAvJN_U3zhuMUhFZg4qtHdpbnBHU15e3NVhJE9oGy4y-qJV6OuasGFP7qPCh8ccU7hUgZf_a8Mg_4bl8dPw883BSWxaOTLa66qJiZjLQkrXVm0XTz3gw9-vrPC5nByOQsagascPUSvTueI9X0t1Cm3VkPsd7UbZce51FPP0aAjhSzIq5aWS6u-6n9yTSUYosHgniz3cGMX1yzuL1b0H0ZdZH1fZmPXCDPRxvqn84KcDUl2PoEhiqc6irawqkVg0J5QeL6PxXfRc1lQuRL4SGhU7PI6RdZkiUmxmJbfTyq16_rRmsS1JM0nDnjiOwDLjfHoG2CzqL8tRHCGjj9lBxGyod9wtRqSVAz0VGefxOdxJe1QdRdbxyQmh_iRW9RTxp_UplRYWeyXhkUZppYPvr-buNfh8iwwhxitoLxJRynZfQPcK-a1EoPSJcfD&CLICK&reqid=OszOXv73fm&pos=5&redirect=https%3A%2F%2Ftiki.vn%2Fbo-phat-wifi-tp-link-bang-tan-kep-ac750-archer-c24-modem-wifi-hang-chinh-hang-tp-link-cuc-phat-wifi-tplink-router-wifi-tp-link-p74547151.html%3Fspid%3D74547152%26src%3Dss-ads,34,4.8,-53%,Yes,Yes,No,No
5,USB Kingston DT100G3 32GB USB 3.0 - Hàng Chính Hãng,92.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/fe/2a/37/34e6ca6587338ccf18f312d7b9b2ea3c.jpg,https://tiki.vn/usb-kingston-dt100g3-32gb-usb-3-0-hang-chinh-hang-p405243.html?src=ss-organic,1804,4.5,-75%,Yes,Yes,No,No
6,Chuột Có Dây Logitech B100 - Hàng Chính Hãng,58.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/11/95/4d/a9c21fbe61ce96d66c06582a49791381.jpg,https://tiki.vn/chuot-co-day-logitech-b100-hang-chinh-hang-p356188.html?src=ss-organic,1462,4.7,-36%,Yes,Yes,No,No
7,Apple Macbook Air 2020 M1 - 13 Inchs (Apple M1/ 8GB/ 512GB) - Hàng Chính Hãng,30.999.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/a7/e8/d6/a4106879f44ab39ec6ef7f62ff57a41e.jpg,https://tiki.vn/apple-macbook-air-2020-m1-13-inchs-apple-m1-8gb-512gb-hang-chinh-hang-p73788524.html?src=ss-organic,20,5.0,-11%,Yes,No,Yes,No
8,Máy scan Plustek MobileOffice S410 hàng chính hãng,1.700.000 ₫,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,https://tka.tiki.vn/pixel?data=djAwMYfEDzPBvhwv36MYPGup93ji1_SHaYgfVHt4AoKLHehhxN_xeHImYVtNvhIFxmNOBzgn4FkctSYgHobzKbE5Vq0EaGMKjrzY5i8rdXUNeVfDsnm3Ou1HEPBQVLCdUqDajSaDVRd9Oz_9j6RkdokuANmTxz6JTUkf0RQhClMD5DFDkgKLOw8mMw3p4nvazeXbOdMkjDRr2YmFJwI20vFKlj9NmSVbgW-AVuKxnzK586TG-JBTHWT3hGJbZKlRdIMwh3HitqVDVpvp26R4HrVTOGGFMZM4waoGfp8lhD5XJZ7RQsky40ehUiIOXLcYzr-5Xw19MX5pP4T4WZbGunG2t31Z_hw0oqYXrb2T2OuF4chouZfLPUPhtmbSPswnc-i0XJxkzo0xb1jwP2gBqCTUURPHld4r7vGyyOZ8zV7HRSc4Ba4KfhSgkPKGvrXJNW9Fw42UbFzRlxSxEj-r9h0tAtzjF0JtXMLWX34OAg61vgCRuzsplzAYjjTCWAkPKwptUWdEMDXA2VPeRH4O-bFZMpovrSR3h5uSaNZ0Xq30rZbbb2SClXqsACuFCYoZ6G_v74oVx2wJwtcFjpLwy84-oRmjrbfqDmjvHtTyxJWlcyH4u6FeBkNCzejjjw0IJa4yfn_UXBtLWBnH30g9eSR95bXnB2D8oS-O6uh1TX4PYlhl_JFP4UBWj4MF9BiTfm9knHE1Ucw6gFRypQtVG_wytj__ixDWOoLBMXA_bQMRIB8juMSz0SH2cBfhAn3-r36Hv5D1qEFduIYFYEgcwpMXq6QKBHmb6oLL5QzLBJrEsHeqhAnRUrJU63HpfCXXLuY99f3qb2QdXeKXTBTGE--TckScJddB2c_K3YGoBtmWWOdJSghGC3HZqxNX9Jk2HuwhJi-DcmgCvzibRkDPG1_hAnitGeChb6XSXpqxgtKQBIABLPADjXJl2_HqxBtPv1B2HyYGBVwWtazOplDdWnWePs6hUkI7QN0I2sWElwILmghSbQU3a9ruKoYWrwG3ctifvrECoKaKiKgEqoqmGEX9Z7Uu5iN9MN-YMfBZYX10gHv4pJVHrVYs2WC5AuybEC8ZOavUMz3b_4O0nAIbfO2AaYWKcQ8LjTfFZDpUjrT82uTpYffzrrF5W3ktP2zMZpRX4y4wXDWxVoXZynRwZBOmWPod2BfF77BcekeYlF0CZKw3ASZZIBZz4ZweSpZley2ONAQ9TW6uog26u6ENuZmsVY2AXzm44jY_3GeP5Z7NtQ4KwJ_h8qm1dOyl7ZbzENzjpaA&CLICK&reqid=OszOXv73fm&pos=9&redirect=https%3A%2F%2Ftiki.vn%2Fmay-scan-plustek-mobileoffice-s410-hang-chinh-hang-p26071266.html%3Fspid%3D29827338%26src%3Dss-ads,8,5.0,-32%,Yes,No,No,No
9,Apple Macbook Pro 2020 M1 - 13 Inchs (Apple M1/ 8GB/ 512GB) - Hàng Chính Hãng,36.499.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/90/c1/c8/b4a15be982d5744df81cdd54a6ac5d6c.jpg,https://tiki.vn/apple-macbook-pro-2020-m1-13-inchs-apple-m1-8gb-512gb-hang-chinh-hang-p73795660.html?src=ss-organic,15,4.9,-9%,Yes,No,Yes,No
